article_id,seq,type,text,level
measuring-pace-of-ai-development,1,callout,本文忠实译自 Anthropic Institute《Measurements for understanding the pace of AI development inside frontier labs》（2026-09-17 发布）。按原意转写，不添不删论点；专名、指标名与机构名保留原文。,
measuring-pace-of-ai-development,2,paragraph,AI 系统正变得更强大，也越来越多地被用来建造下一版自己。,
measuring-pace-of-ai-development,3,paragraph,我们希望把进步的节奏向公众照亮。,
measuring-pace-of-ai-development,4,paragraph,为此，我们分享三项测量，帮助公众追踪前沿 AI 实验室内部的发展：有多少 AI 研发由 AI 自身完成、AI 智能体的行动被监督得如何，以及算力如何分配。,
measuring-pace-of-ai-development,5,paragraph,AI 系统正以指数方式变得更强，并已开始自动化更多「建造自己」的过程。当世界在考虑放缓前沿 AI 发展时，公众需要更多信息。,
measuring-pace-of-ai-development,6,paragraph,在这篇文章里，我们给出可以照亮 AI 发展三个关键面向的测量工具：,
measuring-pace-of-ai-development,7,bullet,AI 在多大程度上正在建造下一版自己，而不是由人类建造,
measuring-pace-of-ai-development,8,bullet,我们监督并干预 AI 智能体在 Anthropic 系统上所采取行动的能力,
measuring-pace-of-ai-development,9,bullet,驱动更强模型开发的资源,
measuring-pace-of-ai-development,10,paragraph,我们也提供一份来自 Anthropic 内部的指标快照。需要说明：如果出现 Anthropic CEO Dario Amodei 所呼吁的那种对前沿节奏的协调，我们预期这些数字会发生变化。我们计划让来自多家机构的独立第三方评估者进驻 Anthropic，并给予他们与内部风险评估团队相当的内部流程、系统与数据访问。这些第三方将核验安全实践、报告事件，并监测本文这类关键指标。,
measuring-pace-of-ai-development,11,paragraph,我们报告这些测量，是因为它们能让公众、第三方和政府更好看见前沿实验室内部的 AI 发展节奏。对每一项测量，我们说明测了什么、测到了什么，以及若要定期以他人可核验的形式发布，还需要什么。方法论细节放在附录。,
measuring-pace-of-ai-development,12,heading,为何要追踪这些测量,2
measuring-pace-of-ai-development,13,paragraph,本文的测量聚焦模型如何被造出来。更好理解模型的生产过程，才更有机会把模型输入（如算力）与模型输出（如能力）关联起来。它们补足能力评估——后者测量模型能做什么。我们通过 Responsible Scaling Policy（RSP，负责任扩展政策）风险报告另行发布那些评估，其中包含模型在多大程度上加速 AI 研发的证据。在我们关于先进 AI 的政策提案 Advanced AI Framework（AAIF，先进 AI 框架）中，我们提出任何实验室发布安全模型时应遵守的「路规」，包括政府可以要求的透明度义务，例如风险报告。这些拟议测量与政策合在一起，是从实验室外部监测 AI 发展节奏的起点。,
measuring-pace-of-ai-development,14,heading,（1）测量由 AI 主导的 AI 研发,2
